MUNICIPIO,ID MPIO,ID LOC., 
04,007,40070032,Ribera el Cuyo
04,007,40070053,Ribera San Isidro
04,007,40070056,El Juncal
04,007,40070061,Ribera el Mangal
04,007,40070086,Ribera el Porvenir
04,007,40070101,Ribera Tila
04,007,40070107,Ribera la Toza
04,007,40070108,Ribera Puerto Arturo
04,007,40070109,Ribera San Eduardo
04,007,40070110,Ribera Santa Isabel
04,007,40070111,Rivera de la Viuda
04,007,40070154,Ribera San Juan
04,007,40070169,Ribera Santa Cruz
04,007,40070238,Ribera la Bodega
04,007,40070320,Ribera Lagón Dulce
04,007,40070521,Ribera Gómez
04,007,40070663,Ribera Paraíso
04,007,40070682,Ribera la Rebeza o San Agustín
04,007,YYYYYY,Popistal
04,003,40030265,Emiliano Zapata
04,003,40030814,Centauro del norte
04,002,4002086,Hobomó
04,008,4008001,Kanki
04,008,40080002,Emiliano Zapata
04,008,40080016,Xkuncheil
04,008,40080098,Santa Rosa
04,009,40090002,División del Norte
04,009,40090018,La Asunción
04,009,40090025,Belén
04,009,40090026,Benito Juárez (La Polla)
04,009,40090073,La Chiquita
04,009,40090080,Colonia San Francisco (El Cinco)
04,009,40090108,Don Samuel
04,009,40090131,La Esperanza
04,009,40090140,La Flor
04,009,40090147,Francisco I. Madero Número Uno
04,009,40090152,El Gallo
04,009,40090163,General Rodolfo Fierros
04,009,40090170,Guadalajara
04,009,40090178,Haro
04,009,40090190,El Huiro
04,009,40090238,José de la Cruz Blanco
04,009,40090242,Justicia Social
04,009,40090247,Kilómetro Treinta y Seis
04,009,40090252,Kilómetro Setenta y Cuatro
04,009,40090255,El Lechugal
04,009,40090256,La Libertad
04,009,40090268,Luna
04,009,40090282,Matamoros
04,009,40090288,Miguel Hidalgo (Caracol)
04,009,40090322,Nuevo Progreso Dos
04,009,40090536,La Victoria
04,009,40090865,Nuevo Campeche (Tres Aguadas)
04,009,40090936,Altamira de Zináparo
04,009,40090945,Chan Laguna
04,009,40090947,Flor de Chiapas
04,009,40090959,Juan de la Barrera
04,009,40090960,Juan Escutia
04,009,40090961,El Jobal
04,009,40090963,Laguna Grande
04,009,40090966,Lic.Benito Juárez García Número Tres
04,009,40090967,Licenciado Miguel de la Madrid
04,009,40090968,Licenciado José López Portillo Uno
04,009,40090994,San José
04,009,40091002,Silvituc
04,010,40100002,Dieciséis de Septiembre (Laguna Alvarado)
04,010,40100007,Los Alacranes
04,010,40100013,Los Ángeles
04,010,40100018,Arroyo Negro
04,010,40100021,Becán
04,010,40100023,Bel-Há
04,010,40100024,Bella Unión de Veracruz (Los Chinos)
04,010,40100026,Blasillo
04,010,40100033,El Sacrificio (Santo Domingo)
04,010,40100037,Carlos A. Madrazo
04,010,40100040,El Carmen Segundo (Las Carmelas)
04,010,40100046,Caña Brava
04,010,40100049,Centauros del Norte
04,010,40100053,Cerro de las Flores
04,010,40100060,El Chichonal
04,010,40100064,Concepción
